"site","cookie_index","name","HttpOnly","Secure","SameSite","Path"
"abcnews.go.com","1","region","False","False","Unset","/"
"abcnews.go.com","2","_dcf","False","False","Unset","/"
"abcnews.go.com","3","SWID","False","False","Unset","/"
"abcnews.go.com","4","userab_1","False","False","Unset","/"
"apnews.com","1","__cf_bm","True","False","Unset","/"
"apnews.com","2","__cf_bm","True","True","None","/"
"britannica.com","1","bcomID","False","False","Unset","/"
"britannica.com","2","SessionAuth","True","False","Unset","/"
"britannica.com","3","subreturn","False","False","Unset","/"
"britannica.com","4","webstats","False","False","Unset","/"
"britannica.com","5","__mendel","False","False","Unset","/"
"britannica.com","6","__cf_bm","True","True","None","/"
"buzzfeed.com","1","bf-geo-country","False","False","Unset","/"
"buzzfeed.com","2","ccpa","False","False","Unset","/"
"buzzfeed.com","3","next-i18next","False","False","Unset","/"
"buzzfeed.com","4","dsl25_frhf","False","False","Unset","Unset"
"buzzfeed.com","5","bf-geo-country","False","False","Unset","/"
"buzzfeed.com","6","ccpa","False","False","Unset","/"
"cbslocal.com","1","fly_device","False","False","Unset","/"
"cbslocal.com","2","fly_geo","False","False","Unset","/"
"cdc.gov","1","akamai_visit_id","False","True","None","/"
"cdc.gov","2","akamai_visit_id","False","True","None","/"
"cdc.gov","3","Akamai-Request-ID","False","True","None","/"
"change.org","1","_change_session","True","True","Lax","/"
"change.org","2","_change_lang","False","True","Strict","/"
"change.org","3","_cfuvid","True","True","None","/"
"cloudflare.com","1","__cf_bm","True","False","Unset","/"
"cloudflare.com","2","_cfms_willow","False","True","Strict","/"
"cloudflare.com","3","_ga","False","False","Unset","/"
"cloudflare.com","4","cfz_google-analytics_v4","True","True","Lax","/"
"cloudflare.com","5","cfz_adobe","True","True","Lax","/"
"cloudflare.com","6","kndctr_8AD56F28618A50850A495FB6_AdobeOrg_identity","False","True","Lax","/"
"cloudflare.com","7","__cf_bm","True","True","None","/"
"cpanel.net","1","__cf_bm","True","True","None","/"
"cpanel.net","2","_cfuvid","True","True","None","/"
"discord.com","1","_cfuvid","True","False","Unset","/"
"discord.com","2","__dcfduid","True","True","Lax","/"
"discord.com","3","__sdcfduid","True","True","Lax","/"
"discord.com","4","_cfuvid","True","True","None","/"
"dropbox.com","1","gvc","True","True","None","/"
"dropbox.com","2","t","True","True","None","/"
"dropbox.com","3","__Host-js_csrf","False","True","None","/"
"dropbox.com","4","__Host-ss","True","True","Strict","/"
"dropbox.com","5","locale","False","False","Unset","/"
"estadao.com.br","1","datadome","False","True","Lax","/"
"fandom.com","1","exp_bucket","False","False","Unset","/"
"fandom.com","2","exp_bucket_2","False","False","Unset","/"
"fandom.com","3","Geo","False","True","None","/"
"get.google.com","1","AEC","True","True","Lax","/"
"get.google.com","2","NID","True","False","Unset","/"
"gofundme.com","1","gdid","False","False","Unset","/"
"gofundme.com","2","gdid","False","False","Unset","/"
"gofundme.com","3","visitor","False","False","Unset","/"
"gofundme.com","4","gdid","False","False","Unset","/"
"goodreads.com","1","ccsid","False","False","Unset","/"
"goodreads.com","2","locale","False","False","Unset","/"
"goodreads.com","3","_session_id2","True","False","Unset","/"
"google.co.jp","1","AEC","True","True","Lax","/"
"google.co.jp","2","NID","True","False","Unset","/"
"google.com.tw","1","AEC","True","True","Lax","/"
"google.com.tw","2","NID","True","False","Unset","/"
