"site","final_status","cookies_total","cookies_httponly","cookies_secure","samesite_strict","samesite_lax","samesite_none","samesite_unset","path_set","path_non_root"
"abcnews.go.com","200","4","0","0","0","0","0","4","4","0"
"adobe.com","200","0","0","0","0","0","0","0","0","0"
"amazon.com","503","0","0","0","0","0","0","0","0","0"
"amebaownd.com","N/A","0","0","0","0","0","0","0","0","0"
"android.com","200","0","0","0","0","0","0","0","0","0"
"aol.com","429","0","0","0","0","0","0","0","0","0"
"apache.org","200","0","0","0","0","0","0","0","0","0"
"apnews.com","200","2","2","1","0","0","1","1","2","0"
"archives.gov","200","0","0","0","0","0","0","0","0","0"
"britannica.com","200","6","2","1","0","0","1","5","6","0"
"buzzfeed.com","200","6","0","0","0","0","0","6","5","0"
"cbc.ca","200","0","0","0","0","0","0","0","0","0"
"cbslocal.com","200","2","0","0","0","0","0","2","2","0"
"cdc.gov","200","3","0","3","0","0","3","0","3","0"
"change.org","200","3","2","3","1","1","1","0","3","0"
"cloudflare.com","200","7","4","5","1","3","1","2","7","0"
"cpanel.net","200","2","2","2","0","0","2","0","2","0"
"discord.com","200","4","4","3","0","2","1","1","4","0"
"doi.org","200","0","0","0","0","0","0","0","0","0"
"dropbox.com","200","5","3","4","1","0","3","1","5","0"
"estadao.com.br","200","1","0","1","0","1","0","0","1","0"
"europapress.es","200","0","0","0","0","0","0","0","0","0"
"fandom.com","200","3","0","1","0","0","1","2","3","0"
"g.co","200","0","0","0","0","0","0","0","0","0"
"get.google.com","200","2","2","1","0","1","0","1","2","0"
"giphy.com","200","0","0","0","0","0","0","0","0","0"
"gizmodo.com","200","0","0","0","0","0","0","0","0","0"
"globo.com","200","0","0","0","0","0","0","0","0","0"
"gofundme.com","200","4","0","0","0","0","0","4","4","0"
"goo.gl","400","0","0","0","0","0","0","0","0","0"
"goodreads.com","200","3","1","0","0","0","0","3","3","0"
"google.co.jp","200","2","2","1","0","1","0","1","2","0"
"google.com.tw","200","2","2","1","0","1","0","1","2","0"
"google.es","200","2","2","1","0","1","0","1","2","0"
"google.it","200","2","2","1","0","1","0","1","2","0"
"google.ru","200","2","2","1","0","1","0","1","2","0"
"gravatar.com","200","0","0","0","0","0","0","0","0","0"
"harvard.edu","200","0","0","0","0","0","0","0","0","0"
"histats.com","200","0","0","0","0","0","0","0","0","0"
"howstuffworks.com","200","0","0","0","0","0","0","0","0","0"
"independent.co.uk","200","19","2","9","0","0","0","19","18","0"
"instructables.com","200","0","0","0","0","0","0","0","0","0"
"jstor.org","200","3","0","3","0","2","1","0","3","0"
"lemonde.fr","200","1","0","0","0","0","0","1","1","0"
"line.me","200","0","0","0","0","0","0","0","0","0"
"mail.google.com","200","3","3","3","0","0","0","3","3","0"
"mashable.com","200","2","2","1","0","0","1","1","2","0"
"merriam-webster.com","200","0","0","0","0","0","0","0","0","0"
"msn.com","404","7","4","2","0","0","1","6","6","0"
"narod.ru","200","8","2","0","0","0","0","8","8","0"
"nba.com","200","2","0","1","0","0","0","2","2","0"
"nbcnews.com","200","2","0","2","0","0","2","0","2","0"
"newsweek.com","403","0","0","0","0","0","0","0","0","0"
"nhk.or.jp","N/A","0","0","0","0","0","0","0","0","0"
"ovh.com","200","0","0","0","0","0","0","0","0","0"
"ovh.net","200","0","0","0","0","0","0","0","0","0"
"pbs.org","200","2","0","2","0","0","2","0","2","0"
"photos1.blogger.com","404","0","0","0","0","0","0","0","0","0"
"pinterest.com","200","4","3","3","0","1","1","2","4","0"
"playstation.com","200","2","0","2","0","0","0","2","2","0"
